Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,,,,,,
"1
Liverpool",7,18,6,0,1,13,2,11,"W
L
W
W
W"
"2
Manchester City",7,17,5,2,0,17,8,9,"W
W
D
D
W"
"3
Arsenal",7,17,5,2,0,15,6,9,"D
W
D
W
W"
"4
Chelsea",7,14,4,2,1,16,8,8,"D
W
W
W
D"
"5
Aston Villa",7,14,4,2,1,12,9,3,"W
W
W
D
D"
"6
Brighton & Hove Albion",7,12,3,3,1,13,10,3,"D
D
D
L
W"
"7
Newcastle United",7,12,3,3,1,8,7,1,"W
W
L
D
D"
"8
Fulham",7,11,3,2,2,10,8,2,"D
D
W
W
L"
"9
Tottenham Hotspur",7,10,3,1,3,14,8,6,"L
L
W
W
L"
"10
Nottingham Forest",7,10,2,4,1,7,6,1,"D
W
D
L
D"
"11
Brentford",7,10,3,1,3,13,13,0,"W
L
L
D
W"
"12
West Ham United",7,8,2,2,3,10,11,-1,"L
D
L
D
W"
"13
Bournemouth",7,8,2,2,3,8,10,-2,"W
L
L
W
L"
"14
Manchester United",7,8,2,2,3,5,8,-3,"L
W
D
L
D"
"15
Leicester City",7,6,1,3,3,9,12,-3,"L
D
D
L
W"
"16
Everton",7,5,1,2,4,7,15,-8,"L
L
D
W
D"
"17
Ipswich",7,4,0,4,3,6,14,-8,"D
D
D
D
L"
"18
Crystal Palace",7,3,0,3,4,5,10,-5,"D
D
D
L
L"
"19
Southampton",7,1,0,1,6,4,15,-11,"L
L
D
L
L"
"20
Wolverhampton Wanderers",7,1,0,1,6,9,21,-12,"D
L
L
L
L"
,,,,,,,,,
