Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
1LiverpoolLIV,10,25,8,1,1,19,6,13,WWWDW
2Man CityMCI,10,23,7,2,1,21,11,10,DWWWL
3Nottm ForestNFO,10,19,5,4,1,14,7,7,LDWWW
4ArsenalARS,10,18,5,3,2,17,11,6,WWLDL
5Aston VillaAVL,9,18,5,3,1,16,11,5,WDDWD
6ChelseaCHE,9,17,5,2,2,19,11,8,WWDLW
7Brighton & Hove AlbionBHA,10,16,4,4,2,17,14,3,LWWDL
8BournemouthBOU,10,15,4,3,3,13,12,1,WLWDW
9NewcastleNEW,10,15,4,3,3,10,10,0,DDLLW
10TottenhamTOT,9,13,4,1,4,18,10,8,WWLWL
11BrentfordBRE,9,13,4,1,4,18,18,0,LDWLW
12FulhamFUL,9,12,3,3,3,12,12,0,WWLLD
13Man UtdMUN,9,11,3,2,4,8,11,-3,DLDWL
14West HamWHU,10,11,3,2,5,13,19,-6,DWLWL
15Leicester CityLEI,10,10,2,4,4,14,18,-4,LWWLD
16EvertonEVE,10,9,2,3,5,10,17,-7,WDWDL
17Crystal PalaceCRY,10,7,1,4,5,8,13,-5,LLLWD
18IpswichIPS,10,5,0,5,5,10,21,-11,DLLLD
19SouthamptonSOU,10,4,1,1,8,7,19,-12,LLLLW
20Wolverhampton WanderersWOL,10,3,0,3,7,14,27,-13,LLLDD
