Match Date,Time of Match,Home Team,Away Team
"Sunday 10 November 2024","00:00","Brentford BRE","Bournemouth BOU"
"Sunday 10 November 2024","00:00","Crystal Palace CRY","Fulham FUL"
"Sunday 10 November 2024","00:00","West Ham WHU","Everton EVE"
"Sunday 10 November 2024","00:00","Wolves WOL","Southampton SOU"
"Sunday 10 November 2024","02:30","Brighton BHA","Man City MCI"
"Sunday 10 November 2024","05:00","Liverpool LIV","Aston Villa AVL"
"Sunday 10 November 2024","23:00","Man Utd MUN","Leicester LEI"
"Sunday 10 November 2024","23:00","Nott'm Forest NFO","Newcastle NEW"
"Sunday 10 November 2024","23:00","Spurs TOT","Ipswich IPS"
"Monday 11 November 2024","01:30","Chelsea CHE","Arsenal ARS"
"Saturday 23 November 2024","21:30","Leicester LEI","Chelsea CHE"
"Sunday 24 November 2024","00:00","Arsenal ARS","Nott'm Forest NFO"
"Sunday 24 November 2024","00:00","Aston Villa AVL","Crystal Palace CRY"
"Sunday 24 November 2024","00:00","Bournemouth BOU","Brighton BHA"
"Sunday 24 November 2024","00:00","Everton EVE","Brentford BRE"
"Sunday 24 November 2024","00:00","Fulham FUL","Wolves WOL"
"Sunday 24 November 2024","02:30","Man City MCI","Spurs TOT"
"Sunday 24 November 2024","23:00","Southampton SOU","Liverpool LIV"
"Monday 25 November 2024","01:30","Ipswich IPS","Man Utd MUN"
"Tuesday 26 November 2024","05:00","Newcastle NEW","West Ham WHU"
