"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10"
"","","","","","","","","",""
"1 Liverpool","7","18","6","0","1","13","2","11","W L W W W"
"2 Manchester City","7","17","5","2","0","17","8","9","W W D D W"
"3 Arsenal","8","17","5","2","1","15","8","7","W D W W L"
"4 Aston Villa","8","17","5","2","1","15","10","5","W W D D W"
"5 Brighton & Hove Albion","8","15","4","3","1","14","10","4","D D L W W"
"6 Chelsea","7","14","4","2","1","16","8","8","D W W W D"
"7 Tottenham","8","13","4","1","3","18","9","9","L W W L W"
"8 Newcastle United","8","12","3","3","2","8","8","0","W L D D L"
"9 Fulham","8","11","3","2","3","11","11","0","D W W L L"
"10 Bournemouth","8","11","3","2","3","10","10","0","L L W L W"
"11 Man Utd","8","11","3","2","3","7","9","-2","W D L D W"
"12 Nottingham Forest","7","10","2","4","1","7","6","1","D W D L D"
"13 Brentford","8","10","3","1","4","14","15","-1","L L D W L"
"14 Leicester City","8","9","2","3","3","12","14","-2","D D L W W"
"15 West Ham United","8","8","2","2","4","11","15","-4","D L D W L"
"16 Everton","8","8","2","2","4","9","15","-6","L D W D W"
"17 Ipswich","8","4","0","4","4","6","16","-10","D D D L L"
"18 Crystal Palace","7","3","0","3","4","5","10","-5","D D D L L"
"19 Wolverhampton Wanderers","7","1","0","1","6","9","21","-12","D L L L L"
"20 Southampton","8","1","0","1","7","6","18","-12","L D L L L"
"","","","","","","","","",""
